{21824,  71.58,  128.92,    4, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{21946,  70.62,  147.88,   44, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22113,  68.98,   33.12,  121, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22217,  67.15,   32.35,   25, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22271,  67.88,   44.13,   10, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22522,  64.95,   34.65,    8, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22543,  64.62,   40.50,    6, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22820,  61.82,   34.27,  110, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{22845,  61.50,   38.95,  126, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23078,  69.33,   88.30,   65, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23205,  67.65,   53.12,    6, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23330,  66.53,   66.67,   16, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23415,  65.12,   57.10,   58, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 0,10,11,12}
{23472,  65.78,   87.95,   38, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23802,  61.67,   50.78,  116, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 0,10,11,12}
{23884,  61.57,   90.30,   60, 5, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23921,  60.68,   60.43,   95, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23933,  61.02,   69.03,   44, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{23955,  60.43,   77.87,   48, 4, 5, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24125,  68.52,  112.43,  207, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24266,  67.52,  133.38,  137, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24343,  66.77,  123.40,   80, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24507,  64.17,  100.07,  186, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24641,  63.77,  121.62,  111, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24688,  63.27,  143.15,  740, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24726,  62.52,  113.87,  357, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24908,  60.33,  102.33,  260, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24944,  60.37,  120.40,  134, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{24959,  62.02,  129.72,  106, 5, 6, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25042,  69.93,  167.98,   16, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25123,  68.75,  161.28,   26, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25400,  65.73,  150.90,   48, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25428,  65.23,  160.53,  264, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25703,  62.93,  152.43,  207, 5, 7, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{25913,  59.53,  150.77,  118,10, 8, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26038,  59.42,   24.80,   37, 3, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26063,  59.95,   30.70,   76, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26298,  57.90,   34.05,  186, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26435,  56.64,   25.13,   80, 3, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26477,  56.35,   30.62,  105, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26629,  54.88,   23.83,   77, 3, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26702,  54.72,   20.55,   21, 3, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{26781,  54.75,   32.07,  238, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27038,  59.32,   39.93,  133, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27199,  58.60,   49.67,  165, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{27459,  56.27,   44.00,  161, 4, 4, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
